"HAUL","CONDITION","LIGHTS","CODEND","SPECIES_NAME","SPECIES_CODE","LENGTH.CM","RF","N.AT.LENGTH","N.RAISED.HAUL","Q"
7,"Night","NO","Lower","Megrim","MEG",43,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",44,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",45,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",46,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",47,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",48,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",49,1,1,1,1
7,"Night","NO","Lower","Whiting","WHG",25,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",26,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",27,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",28,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",29,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",30,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",31,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",32,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",33,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",34,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",35,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",36,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",37,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",38,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",39,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",40,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",41,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",42,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",43,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",44,1,0,0,1
7,"Night","NO","Lower","Whiting","WHG",45,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",10,1,1,1,1
7,"Night","NO","Lower","Northern squid","NSQ",11,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",12,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",13,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",14,1,1,1,1
7,"Night","NO","Lower","Northern squid","NSQ",15,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",16,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",17,1,1,1,1
7,"Night","NO","Lower","Northern squid","NSQ",18,1,1,1,1
7,"Night","NO","Lower","Northern squid","NSQ",19,1,1,1,1
7,"Night","NO","Lower","Northern squid","NSQ",20,1,0,0,1
7,"Night","NO","Lower","Northern squid","NSQ",21,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",26,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",27,5,5,25,0.2
7,"Night","YES","Upper","Haddock","HAD",28,5,6,30,0.2
7,"Night","YES","Upper","Haddock","HAD",29,5,10,50,0.2
7,"Night","YES","Upper","Haddock","HAD",30,5,9,45,0.2
7,"Night","YES","Upper","Haddock","HAD",31,5,7,35,0.2
7,"Night","YES","Upper","Haddock","HAD",32,5,11,55,0.2
7,"Night","YES","Upper","Haddock","HAD",33,5,14,70,0.2
7,"Night","YES","Upper","Haddock","HAD",34,5,4,20,0.2
7,"Night","YES","Upper","Haddock","HAD",35,5,8,40,0.2
7,"Night","YES","Upper","Haddock","HAD",36,4.5,8,36,0.222222222222222
7,"Night","YES","Upper","Haddock","HAD",37,5,4,20,0.2
7,"Night","YES","Upper","Haddock","HAD",38,3.66666666666667,3,11,0.272727272727273
7,"Night","YES","Upper","Haddock","HAD",39,2.33333333333333,3,7,0.428571428571429
7,"Night","YES","Upper","Haddock","HAD",40,1.5,8,12,0.666666666666667
7,"Night","YES","Upper","Haddock","HAD",41,1,3,3,1
7,"Night","YES","Upper","Haddock","HAD",42,1,1,1,1
7,"Night","YES","Upper","Haddock","HAD",43,1,4,4,1
7,"Night","YES","Upper","Haddock","HAD",44,1,3,3,1
7,"Night","YES","Upper","Haddock","HAD",45,1,1,1,1
7,"Night","YES","Upper","Haddock","HAD",46,1,1,1,1
7,"Night","YES","Upper","Haddock","HAD",47,1,1,1,1
7,"Night","YES","Upper","Haddock","HAD",48,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",49,1,1,1,1
7,"Night","YES","Upper","Haddock","HAD",50,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",51,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",52,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",53,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",54,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",55,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",56,1,0,0,1
7,"Night","YES","Upper","Haddock","HAD",57,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",19,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",20,5,1,5,0.2
7,"Night","YES","Upper","Grey gurnard","GUG",21,5,1,5,0.2
7,"Night","YES","Upper","Grey gurnard","GUG",22,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",23,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",24,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",25,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",26,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",27,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",28,1,0,0,1
7,"Night","YES","Upper","Grey gurnard","GUG",29,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",23,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",24,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",25,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",26,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",27,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",28,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",29,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",30,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",31,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",32,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",33,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",34,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",35,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",36,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",37,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",38,1,1,1,1
7,"Night","YES","Upper","Megrim","MEG",39,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",40,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",41,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",42,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",43,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",44,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",45,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",46,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",47,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",48,1,0,0,1
7,"Night","YES","Upper","Megrim","MEG",49,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",25,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",26,5,3,15,0.2
7,"Night","YES","Upper","Whiting","WHG",27,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",28,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",29,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",30,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",31,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",32,5,3,15,0.2
7,"Night","YES","Upper","Whiting","WHG",33,1,1,1,1
7,"Night","YES","Upper","Whiting","WHG",34,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",35,5,1,5,0.2
7,"Night","YES","Upper","Whiting","WHG",36,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",37,1,2,2,1
7,"Night","YES","Upper","Whiting","WHG",38,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",39,1,1,1,1
7,"Night","YES","Upper","Whiting","WHG",40,1,1,1,1
7,"Night","YES","Upper","Whiting","WHG",41,1,1,1,1
7,"Night","YES","Upper","Whiting","WHG",42,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",43,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",44,1,0,0,1
7,"Night","YES","Upper","Whiting","WHG",45,1,1,1,1
7,"Night","YES","Upper","Northern squid","NSQ",10,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",11,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",12,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",13,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",14,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",15,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",16,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",17,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",18,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",19,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",20,1,0,0,1
7,"Night","YES","Upper","Northern squid","NSQ",21,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",26,21,1,21,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",27,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",28,21,5,105,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",29,21,3,63,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",30,21,4,84,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",31,21,5,105,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",32,21,11,231,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",33,21,12,252,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",34,21,8,168,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",35,21,10,210,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",36,21,4,84,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",37,21,3,63,0.0476190476190476
7,"Night","YES","Lower","Haddock","HAD",38,18.5,8,148,0.0540540540540541
7,"Night","YES","Lower","Haddock","HAD",39,11,2,22,0.0909090909090909
7,"Night","YES","Lower","Haddock","HAD",40,7.66666666666667,6,46,0.130434782608696
7,"Night","YES","Lower","Haddock","HAD",41,3.85714285714286,7,27,0.259259259259259
7,"Night","YES","Lower","Haddock","HAD",42,2.53846153846154,13,33,0.393939393939394
7,"Night","YES","Lower","Haddock","HAD",43,2.42857142857143,14,34,0.411764705882353
7,"Night","YES","Lower","Haddock","HAD",44,1,14,14,1
7,"Night","YES","Lower","Haddock","HAD",45,1,11,11,1
7,"Night","YES","Lower","Haddock","HAD",46,1,14,14,1
7,"Night","YES","Lower","Haddock","HAD",47,2.53846153846154,13,33,0.393939393939394
7,"Night","YES","Lower","Haddock","HAD",48,1,4,4,1
7,"Night","YES","Lower","Haddock","HAD",49,1,3,3,1
7,"Night","YES","Lower","Haddock","HAD",50,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",51,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",52,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",53,1,1,1,1
7,"Night","YES","Lower","Haddock","HAD",54,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",55,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",56,1,0,0,1
7,"Night","YES","Lower","Haddock","HAD",57,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",19,21,1,21,0.0476190476190476
7,"Night","YES","Lower","Grey gurnard","GUG",20,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",21,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",22,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",23,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",24,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",25,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",26,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",27,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",28,1,0,0,1
7,"Night","YES","Lower","Grey gurnard","GUG",29,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",23,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",24,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",25,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",26,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",27,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",28,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",29,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",30,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",31,1,3,3,1
7,"Night","YES","Lower","Megrim","MEG",32,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",33,1,5,5,1
7,"Night","YES","Lower","Megrim","MEG",34,1,4,4,1
7,"Night","YES","Lower","Megrim","MEG",35,21,1,21,0.0476190476190476
7,"Night","YES","Lower","Megrim","MEG",36,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",37,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",38,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",39,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",40,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",41,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",42,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",43,1,1,1,1
7,"Night","YES","Lower","Megrim","MEG",44,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",45,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",46,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",47,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",48,1,0,0,1
7,"Night","YES","Lower","Megrim","MEG",49,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",25,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",26,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",27,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",28,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",29,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",30,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",31,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",32,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",33,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",34,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",35,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",36,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",37,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",38,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",39,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",40,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",41,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",42,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",43,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",44,1,0,0,1
7,"Night","YES","Lower","Whiting","WHG",45,1,0,0,1
7,"Night","YES","Lower","Northern squid","NSQ",10,1,0,0,1
7,"Night","YES","Lower","Northern squid","NSQ",11,1,0,0,1
7,"Night","YES","Lower","Northern squid","NSQ",12,1,2,2,1
7,"Night","YES","Lower","Northern squid","NSQ",13,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",14,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",15,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",16,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",17,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",18,1,1,1,1
7,"Night","YES","Lower","Northern squid","NSQ",19,1,0,0,1
7,"Night","YES","Lower","Northern squid","NSQ",20,1,0,0,1
